Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus402	 0.1128	 0.0764	 0.1807
Locus403	-0.0078	-0.0533	 0.0529
Locus404	 0.0023	-0.0226	 0.0443
Locus405	 0.0450	-0.0473	 0.1494
Locus406	 0.4020	 0.2928	 0.5121
Locus407	 0.0218	-0.0344	 0.0958
Locus408	-0.0026	-0.0473	 0.0238
Locus409	 0.0786	-0.0320	 0.1894
Locus410	 0.1220	 0.0142	 0.2489
Locus411	 0.0058	-0.0343	 0.0631
Locus412	 0.0517	-0.0032	 0.0994
Locus413	 0.0027	-0.0283	 0.0791
Locus414	 0.0927	 0.0083	 0.1932
Locus415	 0.0340	-0.0082	 0.0725
Locus416	 0.0366	-0.0293	 0.1243
Locus417	 0.0133	-0.0746	 0.1342
Locus418	 0.0744	-0.0019	 0.1752
Locus419	 0.0710	-0.0010	 0.1622
Locus420	 0.0130	-0.0446	 0.0549
Locus421	 0.0274	-0.0341	 0.0898
Locus422	 0.1217	 0.0537	 0.1799
Locus423	 0.0403	-0.0287	 0.1289
Locus424	 0.2356	 0.1444	 0.3022
Locus425	 0.0736	-0.0415	 0.1609
Locus426	-0.0056	-0.0387	 0.0369
Locus427	 0.0618	-0.0404	 0.1611
Locus428	 0.1301	 0.0798	 0.1573
Locus429	 0.1016	 0.0458	 0.1780
Locus430	 0.0373	-0.0294	 0.1545
Locus431	 0.0065	-0.0315	 0.0614
Locus432	 0.0633	 0.0183	 0.1393
Locus433	 0.0155	-0.0203	 0.1138
Locus434	 0.0277	-0.0197	 0.0604
Locus435	 0.0631	 0.0181	 0.1298
Locus436	-0.0230	-0.0615	 0.0373
Locus437	 0.0005	-0.0582	 0.0382
Locus438	 0.0459	-0.0051	 0.1079
Locus439	 0.0217	-0.0407	 0.1322
Locus440	-0.0103	-0.0302	 0.0311
Locus441	-0.0060	-0.0343	 0.0248
Locus442	 0.0234	-0.0498	 0.1330
Locus443	 0.1005	 0.0221	 0.1671
Locus444	 0.1457	 0.0354	 0.2704
Locus445	 0.0258	-0.0282	 0.0893
Locus446	 0.0614	 0.0135	 0.1064
Locus447	-0.0019	-0.0606	 0.1041
Locus448	-0.0118	-0.0459	 0.0384
Locus449	 0.0267	-0.0091	 0.0841
Locus450	-0.0208	-0.0465	 0.0137
Locus451	 0.0113	-0.0260	 0.0799
Locus452	-0.0139	-0.0533	 0.0212
Locus453	 0.1338	 0.0834	 0.2608
Locus454	 0.0358	-0.0068	 0.0949
Locus455	 0.0043	-0.0613	 0.0984
Locus456	 0.1014	 0.0398	 0.1481
Locus457	 0.3033	 0.1946	 0.4282
Locus458	 0.1183	 0.0524	 0.1884
Locus459	 0.0255	-0.0190	 0.0841
Locus460	 0.0529	-0.0190	 0.1328
Locus461	-0.0092	-0.0802	 0.0561
Locus462	 0.1025	 0.0222	 0.2644
Locus463	 0.0036	-0.0288	 0.0892
Locus464	-0.0039	-0.0443	 0.0589
Locus465	 0.0259	-0.0144	 0.0943
Locus466	 0.0010	-0.0206	 0.0296
Locus467	 0.0462	-0.0280	 0.2150
Locus468	 0.0560	-0.0152	 0.1126
Locus469	 0.0601	-0.0018	 0.1200
Locus470	-0.0297	-0.0568	 0.0144
Locus471	-0.0102	-0.0724	 0.0786
Locus472	 0.1610	 0.0399	 0.3050
Locus473	 0.0105	-0.0809	 0.1474
Locus474	 0.0764	 0.0286	 0.1509
Locus475	 0.0063	-0.0222	 0.0334
Locus476	 0.1042	 0.0105	 0.2728
Locus477	 0.0635	-0.0010	 0.2080
Locus478	 0.2193	 0.1290	 0.3000
Locus479	 0.0307	-0.0273	 0.1536
Locus480	 0.0136	-0.0394	 0.0665
Locus481	 0.0153	-0.0299	 0.0821
Locus482	 0.1161	 0.0197	 0.2169
Locus483	-0.0163	-0.0506	 0.0348
Locus484	 0.0770	 0.0115	 0.1543
Locus485	 0.0725	 0.0418	 0.1013
Locus486	-0.0033	-0.0333	 0.0382
Locus487	-0.0019	-0.0706	 0.0696
Locus488	-0.0119	-0.0406	 0.0377
Locus489	 0.1026	 0.0576	 0.1574
Locus490	 0.0025	-0.0427	 0.0449
Locus491	 0.0315	-0.0698	 0.1318
Locus492	 0.0502	-0.0004	 0.1312
Locus493	 0.0471	-0.0011	 0.1026
Locus494	 0.0047	-0.0549	 0.0637
Locus495	 0.0645	-0.0483	 0.2029
Locus496	 0.0266	-0.0174	 0.1221
Locus497	 0.0105	-0.0310	 0.0472
Locus498	-0.0319	-0.0539	-0.0102
Locus499	 0.0105	-0.0373	 0.1420
Locus500	 0.0637	-0.0045	 0.1280
Locus501	-0.0101	-0.0561	 0.0535
Locus502	 0.0994	 0.0132	 0.1899
Locus503	 0.0528	-0.0278	 0.1213
Locus504	 0.0312	-0.0246	 0.1079
Locus505	 0.0710	-0.0014	 0.1473
Locus506	 0.1602	 0.0744	 0.2597
Locus507	 0.1010	-0.0006	 0.1884
Locus508	 0.0290	-0.0112	 0.0812
Locus509	 0.0691	-0.0263	 0.1406
Locus510	 0.0367	-0.0323	 0.1581
Locus511	-0.0086	-0.0612	 0.0870
Locus512	-0.0062	-0.0562	 0.0310
Locus513	 0.2477	 0.1193	 0.3591
Locus514	 0.1001	 0.0096	 0.1768
Locus515	-0.0258	-0.0690	 0.0268
Locus516	 0.1272	 0.0310	 0.2522
Locus517	 0.0090	-0.0242	 0.0443
Locus518	 0.0899	-0.0079	 0.1923
Locus519	 0.1004	-0.0425	 0.2466
Locus520	 0.0787	-0.0173	 0.2222
Locus521	-0.0267	-0.0552	 0.0126
Locus522	 0.0728	 0.0027	 0.1607
Locus523	 0.0127	-0.0318	 0.0716
Locus524	 0.0055	-0.0331	 0.0495
Locus525	-0.0065	-0.0420	 0.0415
Locus526	-0.0141	-0.0681	 0.0704
Locus527	-0.0014	-0.0465	 0.0552
Locus528	 0.2744	 0.2145	 0.3735
Locus529	 0.0153	-0.0250	 0.0889
Locus530	 0.0474	-0.0079	 0.1014
Locus531	-0.0076	-0.0400	 0.0333
Locus532	 0.0144	-0.0341	 0.1672
Locus533	 0.0722	 0.0165	 0.1599
Locus534	 0.0561	-0.0024	 0.1252
Locus535	 0.0678	-0.0101	 0.1669
Locus536	 0.0211	-0.0300	 0.1140
Locus537	 0.0054	-0.0199	 0.0624
Locus538	 0.0945	-0.0272	 0.1988
Locus539	-0.0088	-0.0462	 0.0663
Locus540	 0.0105	-0.0281	 0.0860
Locus541	-0.0258	-0.0612	 0.0207
Locus542	 0.0226	-0.0240	 0.0833
Locus543	 0.0399	-0.0036	 0.0829
Locus544	 0.1052	-0.0127	 0.2059
Locus545	 0.0124	-0.0374	 0.0936
Locus546	-0.0351	-0.0756	 0.0271
Locus547	 0.0573	 0.0178	 0.1005
Locus548	 0.1145	 0.0328	 0.2964
Locus549	 0.0418	 0.0097	 0.0731
Locus550	 0.0312	-0.0284	 0.0759
Locus551	 0.0368	-0.0287	 0.1337
Locus552	 0.0642	 0.0001	 0.1470
Locus553	 0.2243	 0.1203	 0.3031
Locus554	 0.0763	-0.0215	 0.2418
Locus555	 0.0328	-0.0005	 0.0864
Locus556	-0.0129	-0.0452	 0.0257
Locus557	 0.0722	 0.0174	 0.1325
Locus558	-0.0021	-0.0406	 0.0820
Locus559	 0.0363	-0.0420	 0.1533
Locus560	 0.0151	-0.0365	 0.0826
Locus561	 0.1133	-0.0129	 0.2197
Locus562	 0.0481	 0.0024	 0.1507
Locus563	 0.0516	-0.0296	 0.1556
Locus564	-0.0074	-0.0474	 0.0185
Locus565	 0.0488	-0.0582	 0.2828
Locus566	 0.0234	-0.0140	 0.0902
Locus567	 0.0376	-0.0521	 0.1364
Locus568	 0.0998	 0.0184	 0.2483
Locus569	 0.0943	 0.0170	 0.1538
Locus570	 0.0264	-0.0029	 0.0615
Locus571	-0.0221	-0.0698	 0.0678
Locus572	 0.0457	 0.0074	 0.0876
